Time: 1, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 75, HARQErrorRate: 0
Time: 1.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 71, HARQErrorRate: 0
Time: 1.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 69, SumTotal: 0, CountTotal: 69, HARQErrorRate: 0
Time: 1.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 71, HARQErrorRate: 0
Time: 1.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 80, HARQErrorRate: 0
Time: 1.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 79, HARQErrorRate: 0
Time: 1.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 81, SumTotal: 0, CountTotal: 81, HARQErrorRate: 0
Time: 1.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 83, SumTotal: 0, CountTotal: 83, HARQErrorRate: 0
Time: 2.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 145, HARQErrorRate: 0
Time: 2.009, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 88, SumTotal: 0, CountTotal: 159, HARQErrorRate: 0
Time: 2.01, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 84, SumTotal: 0, CountTotal: 153, HARQErrorRate: 0
Time: 2.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 69, SumTotal: 0, CountTotal: 149, HARQErrorRate: 0
Time: 2.013, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 150, HARQErrorRate: 0
Time: 2.014, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 158, HARQErrorRate: 0
Time: 2.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 163, HARQErrorRate: 0
Time: 2.016, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 162, HARQErrorRate: 0
