Time: 1, HARQErrorRate: 0
Time: 2, HARQErrorRate: 0
Time: 3, HARQErrorRate: 0
Time: 4, HARQErrorRate: 0
Time: 5, HARQErrorRate: 0
Time: 6, HARQErrorRate: 0
Time: 7, HARQErrorRate: 0
Time: 8, HARQErrorRate: 0
Time: 9, HARQErrorRate: 0
Time: 10, HARQErrorRate: 0
Time: 11, HARQErrorRate: 0
Time: 12, HARQErrorRate: 0
Time: 13, HARQErrorRate: 0
Time: 14, HARQErrorRate: 0
Time: 15, HARQErrorRate: 0
Time: 16, HARQErrorRate: 0
Time: 17, HARQErrorRate: 0
Time: 18, HARQErrorRate: 0
Time: 19, HARQErrorRate: 0
Time: 20, HARQErrorRate: 0
Time: 21, HARQErrorRate: 0
Time: 22, HARQErrorRate: 0
Time: 23, HARQErrorRate: 0
Time: 24, HARQErrorRate: 0
Time: 25, HARQErrorRate: 0
Time: 26, HARQErrorRate: 0
Time: 27, HARQErrorRate: 0
Time: 28, HARQErrorRate: 0
Time: 29, HARQErrorRate: 0
Time: 30, HARQErrorRate: 0
Time: 31, HARQErrorRate: 0
Time: 32, HARQErrorRate: 0
Time: 33, HARQErrorRate: 0
Time: 34, HARQErrorRate: 0
Time: 35, HARQErrorRate: 0
Time: 36, HARQErrorRate: 0
Time: 37, HARQErrorRate: 0
Time: 38, HARQErrorRate: 0
Time: 39, HARQErrorRate: 0
Time: 40, HARQErrorRate: 0
Time: 41, HARQErrorRate: 0
Time: 42, HARQErrorRate: 0
Time: 43, HARQErrorRate: 0
Time: 44, HARQErrorRate: 0
Time: 45, HARQErrorRate: 0
Time: 46, HARQErrorRate: 0
Time: 47, HARQErrorRate: 0
Time: 48, HARQErrorRate: 0
Time: 49, HARQErrorRate: 0
Time: 50, HARQErrorRate: 0
Time: 51, HARQErrorRate: 0
Time: 52, HARQErrorRate: 0
Time: 53, HARQErrorRate: 0
Time: 54, HARQErrorRate: 0
Time: 55, HARQErrorRate: 0
Time: 56, HARQErrorRate: 0
Time: 57, HARQErrorRate: 0
Time: 58, HARQErrorRate: 0
Time: 59, HARQErrorRate: 0
Time: 60, HARQErrorRate: 0
Time: 61, HARQErrorRate: 0
Time: 62, HARQErrorRate: 0
