Time: 1, HARQErrorRate: 0
Time: 2.003, HARQErrorRate: 0
Time: 3, HARQErrorRate: 0
Time: 4, HARQErrorRate: 0.00107759
Time: 5.004, HARQErrorRate: 0.0220493
Time: 6, HARQErrorRate: 0.00422833
Time: 7, HARQErrorRate: 0.00203666
Time: 8, HARQErrorRate: 0
Time: 9, HARQErrorRate: 0.00100908
Time: 10, HARQErrorRate: 0.002
Time: 11, HARQErrorRate: 0
Time: 12, HARQErrorRate: 0
Time: 13, HARQErrorRate: 0.002
Time: 14, HARQErrorRate: 0
Time: 15, HARQErrorRate: 0
Time: 16, HARQErrorRate: 0.005
Time: 17, HARQErrorRate: 0.001
Time: 18, HARQErrorRate: 0
Time: 19, HARQErrorRate: 0.005
Time: 20, HARQErrorRate: 0
Time: 21, HARQErrorRate: 0
Time: 22, HARQErrorRate: 0.006
Time: 23, HARQErrorRate: 0
Time: 24, HARQErrorRate: 0
Time: 25, HARQErrorRate: 0.006
Time: 26, HARQErrorRate: 0
Time: 27, HARQErrorRate: 0.543
Time: 28, HARQErrorRate: 0.005
Time: 29.014, HARQErrorRate: 0.214286
Time: 30, HARQErrorRate: 0.00507099
Time: 31, HARQErrorRate: 0
Time: 32.014, HARQErrorRate: 0.0769231
Time: 33.01, HARQErrorRate: 0.454545
Time: 34.012, HARQErrorRate: 0.4
Time: 35.014, HARQErrorRate: 0.166667
Time: 36, HARQErrorRate: 0.00507099
Time: 37.012, HARQErrorRate: 0.166667
Time: 38, HARQErrorRate: 0
Time: 40.015, HARQErrorRate: 0.25
Time: 43.025, HARQErrorRate: 0.5
Time: 44, HARQErrorRate: 0.552504
Time: 49.019, HARQErrorRate: 0.428571
Time: 52.015, HARQErrorRate: 0.5
Time: 60.016, HARQErrorRate: 0
Time: 63.018, HARQErrorRate: 0
Time: 65.014, HARQErrorRate: 1
Time: 67.014, HARQErrorRate: 1
Time: 70.02, HARQErrorRate: 0.5
Time: 71.015, HARQErrorRate: 1
Time: 72.015, HARQErrorRate: 0
Time: 73.018, HARQErrorRate: 0.5
Time: 80.024, HARQErrorRate: 0.5
Time: 83.02, HARQErrorRate: 0.5
Time: 93.016, HARQErrorRate: 0.5
