Time: 48.52, RLCLoss: 1
Time: 49, RLCLoss: 16
Time: 50.01, RLCLoss: 34
Time: 51, RLCLoss: 33
Time: 12.235, RLCLoss: 1
Time: 13.005, RLCLoss: 103
Time: 14, RLCLoss: 133
Time: 15.005, RLCLoss: 134
Time: 16.005, RLCLoss: 134
Time: 17, RLCLoss: 133
Time: 18, RLCLoss: 134
Time: 19, RLCLoss: 133
Time: 20, RLCLoss: 134
Time: 21, RLCLoss: 133
Time: 22, RLCLoss: 134
Time: 11.355, RLCLoss: 1
Time: 8.19, RLCLoss: 1
Time: 9, RLCLoss: 162
Time: 10, RLCLoss: 200
Time: 11, RLCLoss: 200
Time: 12, RLCLoss: 200
Time: 13, RLCLoss: 200
Time: 14, RLCLoss: 200
Time: 15, RLCLoss: 200
Time: 16, RLCLoss: 200
Time: 17, RLCLoss: 200
Time: 18, RLCLoss: 200
Time: 19, RLCLoss: 200
Time: 20, RLCLoss: 200
Time: 21, RLCLoss: 200
Time: 22, RLCLoss: 200
Time: 23, RLCLoss: 200
Time: 24, RLCLoss: 200
Time: 25, RLCLoss: 200
Time: 26, RLCLoss: 200
Time: 27, RLCLoss: 200
Time: 28, RLCLoss: 200
Time: 29, RLCLoss: 200
Time: 30, RLCLoss: 200
Time: 31, RLCLoss: 200
Time: 32, RLCLoss: 200
Time: 33, RLCLoss: 200
Time: 34, RLCLoss: 200
Time: 35, RLCLoss: 200
Time: 36, RLCLoss: 200
Time: 37, RLCLoss: 200
Time: 38, RLCLoss: 200
Time: 39, RLCLoss: 200
Time: 40, RLCLoss: 200
Time: 41, RLCLoss: 200
Time: 42, RLCLoss: 200
Time: 43, RLCLoss: 200
Time: 44, RLCLoss: 200
Time: 45, RLCLoss: 200
Time: 46, RLCLoss: 200
Time: 47, RLCLoss: 200
Time: 48, RLCLoss: 200
Time: 49, RLCLoss: 200
Time: 50, RLCLoss: 200
Time: 51, RLCLoss: 200
Time: 52, RLCLoss: 200
Time: 53, RLCLoss: 200
Time: 54, RLCLoss: 200
Time: 55, RLCLoss: 200
Time: 56, RLCLoss: 200
Time: 57, RLCLoss: 200
Time: 58, RLCLoss: 200
Time: 59, RLCLoss: 200
Time: 60, RLCLoss: 200
Time: 61, RLCLoss: 200
Time: 62, RLCLoss: 200
Time: 63, RLCLoss: 200
Time: 64, RLCLoss: 200
Time: 65, RLCLoss: 200
Time: 66, RLCLoss: 200
Time: 67, RLCLoss: 200
Time: 68, RLCLoss: 200
Time: 69, RLCLoss: 200
Time: 70, RLCLoss: 200
Time: 71, RLCLoss: 200
Time: 72, RLCLoss: 200
Time: 73, RLCLoss: 200
Time: 74, RLCLoss: 200
Time: 75, RLCLoss: 200
Time: 76, RLCLoss: 200
Time: 77, RLCLoss: 200
Time: 78, RLCLoss: 200
Time: 79, RLCLoss: 200
Time: 80, RLCLoss: 200
Time: 81, RLCLoss: 200
Time: 82, RLCLoss: 200
Time: 83, RLCLoss: 200
Time: 84, RLCLoss: 200
Time: 85, RLCLoss: 200
Time: 8.955, RLCLoss: 1
Time: 9, RLCLoss: 8
Time: 10, RLCLoss: 183
Time: 11, RLCLoss: 183
Time: 12, RLCLoss: 183
