Time: 31.3, RLCLoss: 1
Time: 32, RLCLoss: 70
Time: 33, RLCLoss: 100
Time: 34, RLCLoss: 100
Time: 35, RLCLoss: 100
Time: 36, RLCLoss: 91
Time: 37, RLCLoss: 100
Time: 38, RLCLoss: 91
Time: 39, RLCLoss: 100
Time: 40, RLCLoss: 100
Time: 41, RLCLoss: 100
Time: 42, RLCLoss: 100
Time: 43, RLCLoss: 100
Time: 44, RLCLoss: 93
Time: 45, RLCLoss: 99
Time: 46, RLCLoss: 100
Time: 47, RLCLoss: 100
Time: 48, RLCLoss: 100
Time: 49, RLCLoss: 100
Time: 50, RLCLoss: 100
Time: 51, RLCLoss: 100
Time: 52, RLCLoss: 100
Time: 53, RLCLoss: 100
Time: 54, RLCLoss: 100
Time: 55, RLCLoss: 100
Time: 56, RLCLoss: 100
Time: 57, RLCLoss: 100
Time: 58, RLCLoss: 100
Time: 59, RLCLoss: 100
Time: 60, RLCLoss: 100
Time: 61, RLCLoss: 100
Time: 62, RLCLoss: 100
Time: 63, RLCLoss: 100
Time: 64, RLCLoss: 100
Time: 65, RLCLoss: 100
Time: 66, RLCLoss: 100
Time: 67, RLCLoss: 100
Time: 68, RLCLoss: 100
Time: 69, RLCLoss: 100
Time: 70, RLCLoss: 100
Time: 71, RLCLoss: 100
Time: 72, RLCLoss: 100
Time: 73, RLCLoss: 100
Time: 74, RLCLoss: 100
Time: 75, RLCLoss: 100
Time: 76, RLCLoss: 100
Time: 77, RLCLoss: 100
Time: 78, RLCLoss: 100
Time: 79, RLCLoss: 100
Time: 80, RLCLoss: 100
Time: 81, RLCLoss: 100
Time: 82, RLCLoss: 100
Time: 83, RLCLoss: 100
Time: 84, RLCLoss: 100
Time: 85, RLCLoss: 100
Time: 86, RLCLoss: 100
Time: 87, RLCLoss: 100
Time: 88, RLCLoss: 100
Time: 89, RLCLoss: 100
Time: 90, RLCLoss: 100
Time: 91, RLCLoss: 100
Time: 92, RLCLoss: 100
Time: 93, RLCLoss: 100
Time: 94, RLCLoss: 100
Time: 95, RLCLoss: 100
Time: 96, RLCLoss: 100
Time: 97, RLCLoss: 100
Time: 98, RLCLoss: 100
Time: 99, RLCLoss: 100
Time: 100, RLCLoss: 100
