Time: 1.003, Throughput: 86, Latency: 0.573
Time: 2.001, Throughput: 92, Latency: 1.111
Time: 3.011, Throughput: 91, Latency: 1.666
Time: 4.009, Throughput: 94, Latency: 2.194
Time: 1.012, Throughput: 17, Latency: 0.932
Time: 2.01, Throughput: 17, Latency: 1.845
Time: 3.056, Throughput: 18, Latency: 2.801
Time: 1.012, Throughput: 17, Latency: 0.932
Time: 2.01, Throughput: 17, Latency: 1.845
Time: 3.056, Throughput: 18, Latency: 2.801
Time: 4.045, Throughput: 17, Latency: 3.705
Time: 5.033, Throughput: 17, Latency: 4.608
Time: 1.001, Throughput: 193, Latency: 0.041
Time: 2.006, Throughput: 201, Latency: 0.041
Time: 3.012, Throughput: 201, Latency: 0.042
Time: 4, Throughput: 199, Latency: 0.035
Time: 5.002, Throughput: 200, Latency: 0.037
Time: 6, Throughput: 199, Latency: 0.04
Time: 7.002, Throughput: 200, Latency: 0.042
