Time: 1, Throughput: 62, Latency: 0.39
Time: 2.003, Throughput: 66, Latency: 0.733
Time: 3.005, Throughput: 66, Latency: 1.075
Time: 4.007, Throughput: 66, Latency: 1.417
Time: 5.009, Throughput: 66, Latency: 1.759
Time: 6.002, Throughput: 66, Latency: 2.092
Time: 7.01, Throughput: 67, Latency: 2.43
Time: 8.012, Throughput: 66, Latency: 2.772
Time: 9.005, Throughput: 66, Latency: 3.105
Time: 10.013, Throughput: 67, Latency: 3.443
Time: 11.007, Throughput: 66, Latency: 3.777
Time: 12.009, Throughput: 66, Latency: 4.119
Time: 13.002, Throughput: 66, Latency: 4.452
Time: 14.01, Throughput: 67, Latency: 4.79
Time: 15.003, Throughput: 66, Latency: 5.123
Time: 16.011, Throughput: 67, Latency: 5.461
Time: 17.004, Throughput: 66, Latency: 5.794
Time: 18.006, Throughput: 66, Latency: 6.136
Time: 19, Throughput: 66, Latency: 6.47
Time: 20.008, Throughput: 67, Latency: 6.808
Time: 21.001, Throughput: 66, Latency: 7.141
Time: 22.009, Throughput: 67, Latency: 7.479
Time: 23.002, Throughput: 66, Latency: 7.812
Time: 24.01, Throughput: 67, Latency: 8.15
Time: 25.003, Throughput: 66, Latency: 8.483
Time: 26.011, Throughput: 67, Latency: 8.821
Time: 27.014, Throughput: 66, Latency: 9.164
Time: 28.007, Throughput: 66, Latency: 9.497
Time: 29, Throughput: 66, Latency: 9.83
Time: 30.008, Throughput: 67, Latency: 10.168
Time: 31.001, Throughput: 66, Latency: 10.501
Time: 32.009, Throughput: 67, Latency: 10.839
Time: 33.002, Throughput: 66, Latency: 11.172
Time: 34.01, Throughput: 67, Latency: 11.51
Time: 35.004, Throughput: 66, Latency: 11.844
Time: 36.012, Throughput: 67, Latency: 12.182
Time: 37.005, Throughput: 66, Latency: 12.515
Time: 38.013, Throughput: 67, Latency: 12.853
Time: 39.006, Throughput: 66, Latency: 13.186
Time: 40.008, Throughput: 66, Latency: 13.528
Time: 41.001, Throughput: 66, Latency: 13.861
Time: 42.009, Throughput: 67, Latency: 14.199
Time: 43.003, Throughput: 66, Latency: 14.533
Time: 44.011, Throughput: 67, Latency: 14.871
Time: 45.004, Throughput: 66, Latency: 15.204
Time: 46.012, Throughput: 67, Latency: 15.542
Time: 47.005, Throughput: 66, Latency: 15.875
Time: 48.013, Throughput: 67, Latency: 16.213
Time: 49.006, Throughput: 66, Latency: 16.546
Time: 50.014, Throughput: 67, Latency: 16.884
Time: 51.008, Throughput: 66, Latency: 17.218
Time: 52.001, Throughput: 66, Latency: 17.551
Time: 53.009, Throughput: 67, Latency: 17.889
Time: 54.002, Throughput: 66, Latency: 18.222
Time: 55.01, Throughput: 67, Latency: 18.56
Time: 56.003, Throughput: 66, Latency: 18.893
Time: 57.011, Throughput: 67, Latency: 19.231
Time: 58.004, Throughput: 66, Latency: 19.564
Time: 59.013, Throughput: 67, Latency: 19.903
Time: 60, Throughput: 65, Latency: 20.24
Time: 61.008, Throughput: 67, Latency: 20.578
Time: 62.001, Throughput: 66, Latency: 20.911
