Time: 1.003, Throughput: 98
Time: 2.013, Throughput: 101
Time: 3.001, Throughput: 99
Time: 4, Throughput: 77
Time: 5.02, Throughput: 124
Time: 6.017, Throughput: 60
Time: 7.013, Throughput: 70
Time: 8.015, Throughput: 63
Time: 9.009, Throughput: 27
Time: 10.034, Throughput: 22
Time: 11.014, Throughput: 21
Time: 12.021, Throughput: 55
Time: 13.013, Throughput: 30
Time: 14.005, Throughput: 27
Time: 15.003, Throughput: 82
Time: 16.179, Throughput: 10
Time: 17.002, Throughput: 4
Time: 18.022, Throughput: 5
Time: 19.017, Throughput: 5
Time: 20.009, Throughput: 27
Time: 21.05, Throughput: 13
Time: 22.037, Throughput: 5
Time: 23.066, Throughput: 13
Time: 24.018, Throughput: 12
Time: 25.042, Throughput: 9
Time: 26.043, Throughput: 5
Time: 27.013, Throughput: 12
Time: 29.028, Throughput: 9
Time: 30.063, Throughput: 5
Time: 35.041, Throughput: 5
Time: 37.074, Throughput: 9
Time: 43.452, Throughput: 9
Time: 44.048, Throughput: 7
