Time: 1.009, HarqErrorSum: 6, HarqErrorRateUlCount: 108, Sum:6, Count:109, HARQErrorRate: 0.0555556(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 7944
Time: 2.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:209, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 14812
Time: 3.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:309, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 21678
Time: 4.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:409, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 28544
Time: 5.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:509, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 35412
Time: 6.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:609, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 42278
Time: 7.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:709, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 49144
Time: 8.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:809, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 56012
Time: 9.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:909, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 62878
Time: 10.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1009, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 69744
Time: 11.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1109, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 76612
Time: 12.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1209, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 83478
Time: 13.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1309, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 90344
Time: 14.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1409, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 97212
Time: 15.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1509, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 104078
Time: 16.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1609, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 110944
Time: 17.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1709, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 117812
Time: 18.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1809, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 124678
Time: 19.009, HarqErrorSum: 0, HarqErrorRateUlCount: 100, Sum:6, Count:1909, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 131544
Time: 20.009, HarqErrorSum: 1, HarqErrorRateUlCount: 100, Sum:7, Count:2009, HARQErrorRate: 0.01(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 138412
Time: 21.004, HarqErrorSum: 4, HarqErrorRateUlCount: 102, Sum:4, Count:102, HARQErrorRate: 0.0392157(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 1, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 147176
Time: 22.005, HarqErrorSum: 0, HarqErrorRateUlCount: 228, Sum:7, Count:2237, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 156107
Time: 23.001, HarqErrorSum: 0, HarqErrorRateUlCount: 113, Sum:7, Count:2350, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 164915
Time: 24.001, HarqErrorSum: 1, HarqErrorRateUlCount: 116, Sum:8, Count:2466, HARQErrorRate: 0.00862069(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 173825
Time: 25.003, HarqErrorSum: 3, HarqErrorRateUlCount: 344, Sum:7, Count:446, HARQErrorRate: 0.00872093(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 1, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 182705
Time: 26.002, HarqErrorSum: 1, HarqErrorRateUlCount: 86, Sum:8, Count:532, HARQErrorRate: 0.0116279(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 1, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 191592
Time: 27.004, HarqErrorSum: 0, HarqErrorRateUlCount: 86, Sum:8, Count:618, HARQErrorRate: 0(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 1, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 200470
Time: 28.001, HarqErrorSum: 3, HarqErrorRateUlCount: 459, Sum:11, Count:2925, HARQErrorRate: 0.00653595(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 209335
Time: 29.002, HarqErrorSum: 1, HarqErrorRateUlCount: 172, Sum:9, Count:790, HARQErrorRate: 0.00581395(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 1, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 218252
Time: 30.003, HarqErrorSum: 3, HarqErrorRateUlCount: 230, Sum:14, Count:3155, HARQErrorRate: 0.0130435(UserControlInfo) sourceId = 2049, destId = 1, direction = 1 (UL), d2dTxPeerId = 0, d2dRxPeerId = 0, application = 0 (VOIP), traffic = 0 (CONVERSATIONAL), rlcType = 0 (TM), lcid = 0, multicastGroupId = -1, isNr = false, carrierFrequency = 2, acid = 0, cw = 0, txNumber = 1, ndi = true, isCorruptible = false, isBroadcast = false, deciderResult = false, blerTh = 0, blerValue = 0, txMode = 0 (SINGLE_ANTENNA_PORT0), frameType = 0 (DATAPKT), txPower = 0, d2dTxPower = 0, totalGrantedBlocks = 0, grantId = 227125
