Time: 1.003, Acid: 0, HarqErrorSum: -585, HarqErrorRateUlCount: -1.5944e+07, SumTotal: 6, CountTotal: 159, HARQErrorRate: 0
Time: 1.01, Acid: 1, HarqErrorSum: -586, HarqErrorRateUlCount: -1.59708e+07, SumTotal: 5, CountTotal: 138, HARQErrorRate: 0
Time: 1.011, Acid: 2, HarqErrorSum: -586, HarqErrorRateUlCount: -1.59745e+07, SumTotal: 5, CountTotal: 136, HARQErrorRate: 0
Time: 1.012, Acid: 3, HarqErrorSum: -588, HarqErrorRateUlCount: -1.59838e+07, SumTotal: 3, CountTotal: 130, HARQErrorRate: 0
Time: 1.013, Acid: 4, HarqErrorSum: -586, HarqErrorRateUlCount: -1.59757e+07, SumTotal: 5, CountTotal: 122, HARQErrorRate: 0
Time: 1.014, Acid: 5, HarqErrorSum: -587, HarqErrorRateUlCount: -1.59551e+07, SumTotal: 4, CountTotal: 120, HARQErrorRate: 0
Time: 2.003, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 319, HARQErrorRate: 0
Time: 2.01, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 268, HARQErrorRate: 0
Time: 2.011, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 266, HARQErrorRate: 0
Time: 2.012, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 240, HARQErrorRate: 0
Time: 2.013, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 222, HARQErrorRate: 0
Time: 2.014, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 220, HARQErrorRate: 0
Time: 3.001, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 479, HARQErrorRate: 0
Time: 3.002, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 129, SumTotal: 5, CountTotal: 397, HARQErrorRate: 0
Time: 3.003, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 5, CountTotal: 391, HARQErrorRate: 0
Time: 3.004, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 108, SumTotal: 3, CountTotal: 348, HARQErrorRate: 0
Time: 3.005, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 102, SumTotal: 5, CountTotal: 324, HARQErrorRate: 0
Time: 3.006, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 99, SumTotal: 4, CountTotal: 319, HARQErrorRate: 0
Time: 4.001, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 639, HARQErrorRate: 0
Time: 4.002, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 527, HARQErrorRate: 0
Time: 4.003, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 129, SumTotal: 5, CountTotal: 520, HARQErrorRate: 0
Time: 4.004, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 458, HARQErrorRate: 0
Time: 4.005, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 101, SumTotal: 5, CountTotal: 425, HARQErrorRate: 0
Time: 4.006, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 419, HARQErrorRate: 0
Time: 5.001, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 799, HARQErrorRate: 0
Time: 5.002, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 657, HARQErrorRate: 0
Time: 5.003, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 650, HARQErrorRate: 0
Time: 5.004, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 568, HARQErrorRate: 0
Time: 5.005, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 525, HARQErrorRate: 0
Time: 5.006, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 519, HARQErrorRate: 0
Time: 6.001, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 959, HARQErrorRate: 0
Time: 6.002, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 787, HARQErrorRate: 0
Time: 6.003, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 780, HARQErrorRate: 0
Time: 6.004, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 678, HARQErrorRate: 0
Time: 6.005, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 625, HARQErrorRate: 0
